KII0,     l0,    KII2,      L
1.37872e+00,    5.95705e-02,   1.90087e+00,     1.00000e-02 
1.21869e+00,    6.83495e-02,   1.48520e+00,     2.00000e-01 
1.03697e+00,    7.69424e-02,   1.07531e+00,     4.00000e-01 
8.51836e-01,    8.43541e-02,   7.25625e-01,     6.00000e-01 
6.71713e-01,    9.08772e-02,   4.51198e-01,     8.00000e-01 
5.14296e-01,    9.49011e-02,   2.64500e-01,     1.00000e+00 
3.80729e-01,    9.74717e-02,   1.44954e-01,     1.20000e+00 
2.72324e-01,    9.89874e-02,   7.41601e-02,     1.40000e+00 
1.87610e-01,    9.98171e-02,   3.51976e-02,     1.60000e+00 
1.23576e-01,    1.00239e-01,   1.52710e-02,     1.80000e+00 
7.66439e-02,    1.00436e-01,   5.87428e-03,     2.00000e+00 
4.32921e-02,    1.00520e-01,   1.87421e-03,     2.20000e+00 
2.03751e-02,    1.00550e-01,   4.15146e-04,     2.40000e+00 
5.24997e-03,    1.00558e-01,   2.75622e-05,     2.60000e+00 
