KI,     KII
1.93223e+00,    1.50540e+00
1.81645e+00,    1.48879e+00
1.68412e+00,    1.47124e+00
1.52748e+00,    1.45253e+00
1.33038e+00,    1.43231e+00
1.20520e+00,    1.42144e+00
1.04634e+00,    1.40990e+00
9.66462e-01,    1.40504e+00
8.70126e-01,    1.40001e+00
7.44580e-01,    1.39476e+00
6.60641e-01,    1.39203e+00
5.45048e-01,    1.38922e+00
4.59961e-01,    1.38777e+00
3.86287e-01,    1.38689e+00
2.80591e-01,    1.38611e+00
2.54189e-01,    1.38599e+00
2.09398e-01,    1.38583e+00
1.67383e-01,    1.38574e+00
1.15533e-01,    1.38568e+00
