K,  z,   pressure
1.81645e+00,    4.50665e-09,   -7.60421e-01 
1.81645e+00,    5.63368e-07,   -5.53552e-01 
1.81645e+00,    3.28606e-06,   -4.78008e-01 
1.81645e+00,    9.90564e-06,   -4.30751e-01 
1.81645e+00,    2.21586e-05,   -3.96280e-01 
1.81645e+00,    4.17862e-05,   -3.69129e-01 
1.81645e+00,    1.10165e-04,   -3.27660e-01 
1.81645e+00,    2.29130e-04,   -2.96365e-01 
1.81645e+00,    4.12945e-04,   -2.71223e-01 
1.81645e+00,    6.76105e-04,   -2.50210e-01 
1.81645e+00,    1.03338e-03,   -2.32159e-01 
1.81645e+00,    1.49989e-03,   -2.16340e-01 
1.81645e+00,    2.09111e-03,   -2.02263e-01 
1.81645e+00,    3.24680e-03,   -1.83690e-01 
1.81645e+00,    6.03000e-03,   -1.57737e-01 
1.81645e+00,    1.01286e-02,   -1.36240e-01 
1.81645e+00,    1.58524e-02,   -1.17949e-01 
1.81645e+00,    2.35496e-02,   -1.02097e-01 
1.81645e+00,    3.36166e-02,   -8.81852e-02 
1.81645e+00,    4.65092e-02,   -7.58742e-02 
1.81645e+00,    6.27565e-02,   -6.49267e-02 
1.81645e+00,    8.29777e-02,   -5.51721e-02 
1.81645e+00,    1.07903e-01,   -4.64855e-02 
1.81645e+00,    1.38400e-01,   -3.87732e-02 
1.81645e+00,    1.75505e-01,   -3.19633e-02 
1.81645e+00,    2.20466e-01,   -2.59976e-02 
1.81645e+00,    2.74795e-01,   -2.08257e-02 
1.81645e+00,    3.40335e-01,   -1.64003e-02 
1.81645e+00,    4.19348e-01,   -1.26734e-02 
1.81645e+00,    5.14635e-01,   -9.59263e-03 
1.81645e+00,    6.29680e-01,   -7.10001e-03 
1.81645e+00,    7.68862e-01,   -5.13110e-03 
1.81645e+00,    9.37723e-01,   -3.61618e-03 
1.81645e+00,    1.14335e+00,   -2.48280e-03 
1.81645e+00,    1.39488e+00,   -1.65930e-03 
1.81645e+00,    1.70425e+00,   -1.07863e-03 
1.81645e+00,    2.08720e+00,   -6.81436e-04 
1.81645e+00,    2.56478e+00,   -4.17972e-04 
1.81645e+00,    3.16551e+00,   -2.48589e-04 
1.81645e+00,    3.92870e+00,   -1.43120e-04 
1.81645e+00,    4.90942e+00,   -7.95879e-05 
1.81645e+00,    6.18637e+00,   -4.26257e-05 
1.81645e+00,    7.87450e+00,   -2.19052e-05 
1.81645e+00,    1.01460e+01,   -1.07486e-05 
1.81645e+00,    1.32663e+01,   -5.00419e-06 
1.81645e+00,    1.76583e+01,   -2.19226e-06 
1.81645e+00,    2.40227e+01,   -8.93861e-07 
1.81645e+00,    3.35757e+01,   -3.34270e-07 
1.81645e+00,    4.85497e+01,   -1.12368e-07 
1.81645e+00,    7.26656e+01,   -3.39195e-08 
1.81645e+00,    1.09166e+02,   -1.00854e-08 
1.81645e+00,    1.64002e+02,   -2.99060e-09 
1.81645e+00,    2.46381e+02,   -8.85191e-10 
1.81645e+00,    3.70142e+02,   -2.61693e-10 
1.81645e+00,    5.56068e+02,   -7.73038e-11 
7.44580e-01,    4.50665e-09,   -2.01715e+01 
7.44580e-01,    5.63368e-07,   -1.33043e+01 
7.44580e-01,    3.28606e-06,   -1.08281e+01 
7.44580e-01,    9.90564e-06,   -9.30382e+00 
7.44580e-01,    2.21586e-05,   -8.21229e+00 
7.44580e-01,    4.17862e-05,   -7.36979e+00 
7.44580e-01,    1.10165e-04,   -6.12332e+00 
7.44580e-01,    2.29130e-04,   -5.22531e+00 
7.44580e-01,    4.12945e-04,   -4.53771e+00 
7.44580e-01,    6.76105e-04,   -3.99027e+00 
7.44580e-01,    1.03338e-03,   -3.54230e+00 
7.44580e-01,    1.49989e-03,   -3.16811e+00 
7.44580e-01,    2.09111e-03,   -2.85048e+00 
7.44580e-01,    3.24680e-03,   -2.45461e+00 
7.44580e-01,    6.03000e-03,   -1.94746e+00 
7.44580e-01,    1.01286e-02,   -1.56903e+00 
7.44580e-01,    1.58524e-02,   -1.27680e+00 
7.44580e-01,    2.35496e-02,   -1.04532e+00 
7.44580e-01,    3.36166e-02,   -8.58450e-01 
7.44580e-01,    4.65092e-02,   -7.05416e-01 
7.44580e-01,    6.27565e-02,   -5.78767e-01 
7.44580e-01,    8.29777e-02,   -4.73186e-01 
7.44580e-01,    1.07903e-01,   -3.84778e-01 
7.44580e-01,    1.38400e-01,   -3.10620e-01 
7.44580e-01,    1.75505e-01,   -2.48469e-01 
7.44580e-01,    2.20466e-01,   -1.96563e-01 
7.44580e-01,    2.74795e-01,   -1.53483e-01 
7.44580e-01,    3.40335e-01,   -1.18051e-01 
7.44580e-01,    4.19348e-01,   -8.92579e-02 
7.44580e-01,    5.14635e-01,   -6.62118e-02 
7.44580e-01,    6.29680e-01,   -4.80981e-02 
7.44580e-01,    7.68862e-01,   -3.41589e-02 
7.44580e-01,    9.37723e-01,   -2.36841e-02 
7.44580e-01,    1.14335e+00,   -1.60139e-02 
7.44580e-01,    1.39488e+00,   -1.05494e-02 
7.44580e-01,    1.70425e+00,   -6.76550e-03 
7.44580e-01,    2.08720e+00,   -4.22026e-03 
7.44580e-01,    2.56478e+00,   -2.55801e-03 
7.44580e-01,    3.16551e+00,   -1.50462e-03 
7.44580e-01,    3.92870e+00,   -8.57399e-04 
7.44580e-01,    4.90942e+00,   -4.72291e-04 
7.44580e-01,    6.18637e+00,   -2.50759e-04 
7.44580e-01,    7.87450e+00,   -1.27847e-04 
7.44580e-01,    1.01460e+01,   -6.22863e-05 
7.44580e-01,    1.32663e+01,   -2.88137e-05 
7.44580e-01,    1.76583e+01,   -1.25517e-05 
7.44580e-01,    2.40227e+01,   -5.09263e-06 
7.44580e-01,    3.35757e+01,   -1.89642e-06 
7.44580e-01,    4.85497e+01,   -6.35247e-07 
7.44580e-01,    7.26656e+01,   -1.91215e-07 
7.44580e-01,    1.09166e+02,   -5.67398e-08 
7.44580e-01,    1.64002e+02,   -1.68011e-08 
7.44580e-01,    2.46381e+02,   -4.96809e-09 
7.44580e-01,    3.70142e+02,   -1.46775e-09 
7.44580e-01,    5.56068e+02,   -4.33367e-10 
