type,   V,    K 
Kval,    6.53172e-01,   2.67926e-01 
Kval,    6.54318e-01,   2.55596e-01 
Kval,    6.55464e-01,   2.43278e-01 
Kval,    6.56610e-01,   2.30973e-01 
Kval,    6.57756e-01,   2.18680e-01 
Kval,    6.58901e-01,   2.06401e-01 
Kval,    6.60047e-01,   1.94134e-01 
Kval,    6.61193e-01,   1.81880e-01 
Kval,    6.62339e-01,   1.69641e-01 
Kval,    6.63485e-01,   1.57415e-01 
Kval,    6.64631e-01,   1.45204e-01 
Kval,    6.65777e-01,   1.33007e-01 
Kval,    6.66923e-01,   1.20826e-01 
Kval,    6.68069e-01,   1.08661e-01 
Kval,    6.69215e-01,   9.65129e-02 
Kval,    6.70361e-01,   8.43816e-02 
Kval,    6.71507e-01,   7.22682e-02 
Kval,    6.72652e-01,   6.01737e-02 
Kval,    6.73798e-01,   4.80994e-02 
Kval,    6.74944e-01,   3.60467e-02 
linear,    6.52898e-01,   2.67926e-01 
linear,    6.54071e-01,   2.55596e-01 
linear,    6.55242e-01,   2.43278e-01 
linear,    6.56412e-01,   2.30973e-01 
linear,    6.57580e-01,   2.18680e-01 
linear,    6.58748e-01,   2.06401e-01 
linear,    6.59914e-01,   1.94134e-01 
linear,    6.61079e-01,   1.81880e-01 
linear,    6.62243e-01,   1.69641e-01 
linear,    6.63405e-01,   1.57415e-01 
linear,    6.64566e-01,   1.45204e-01 
linear,    6.65726e-01,   1.33007e-01 
linear,    6.66884e-01,   1.20826e-01 
linear,    6.68040e-01,   1.08661e-01 
linear,    6.69195e-01,   9.65129e-02 
linear,    6.70349e-01,   8.43816e-02 
linear,    6.71501e-01,   7.22682e-02 
linear,    6.72650e-01,   6.01737e-02 
linear,    6.73798e-01,   4.80994e-02 
linear,    6.74944e-01,   3.60467e-02 
linear,    6.78371e-01,   0.00000e+00 
quadratic,    6.53258e-01,   2.67926e-01 
quadratic,    6.54392e-01,   2.55596e-01 
quadratic,    6.55527e-01,   2.43278e-01 
quadratic,    6.56663e-01,   2.30973e-01 
quadratic,    6.57800e-01,   2.18680e-01 
quadratic,    6.58938e-01,   2.06401e-01 
quadratic,    6.60077e-01,   1.94134e-01 
quadratic,    6.61217e-01,   1.81880e-01 
quadratic,    6.62358e-01,   1.69641e-01 
quadratic,    6.63499e-01,   1.57415e-01 
quadratic,    6.64641e-01,   1.45204e-01 
quadratic,    6.65784e-01,   1.33007e-01 
quadratic,    6.66927e-01,   1.20826e-01 
quadratic,    6.68071e-01,   1.08661e-01 
quadratic,    6.69216e-01,   9.65129e-02 
quadratic,    6.70361e-01,   8.43816e-02 
quadratic,    6.71507e-01,   7.22682e-02 
quadratic,    6.72652e-01,   6.01737e-02 
quadratic,    6.73798e-01,   4.80994e-02 
quadratic,    6.74944e-01,   3.60467e-02 
quadratic,    6.78384e-01,   0.00000e+00 
