KII,    lambda,  lambdaEst,  L,  LEst
1.37858e+00,    5.93739e-02,     5.91649e-02,   1.00000e-02,    -1.95320e-02
1.21779e+00,    6.82679e-02,     6.82087e-02,   2.00000e-01,    2.01745e-01
1.03604e+00,    7.68331e-02,     7.70824e-02,   4.00000e-01,    4.25221e-01
8.50918e-01,    8.42169e-02,     8.46498e-02,   6.00000e-01,    6.30063e-01
6.70825e-01,    9.07132e-02,     9.05867e-02,   8.00000e-01,    8.19006e-01
5.13474e-01,    9.47181e-02,     9.46237e-02,   1.00000e+00,    9.93286e-01
3.79980e-01,    9.72747e-02,     9.72075e-02,   1.20000e+00,    1.17102e+00
2.71644e-01,    9.87813e-02,     9.87368e-02,   1.40000e+00,    1.36279e+00
1.86989e-01,    9.96053e-02,     9.95778e-02,   1.60000e+00,    1.57176e+00
1.23002e-01,    1.00024e-01,     1.00008e-01,   1.80000e+00,    1.79341e+00
7.61056e-02,    1.00219e-01,     1.00210e-01,   2.00000e+00,    2.01769e+00
4.27796e-02,    1.00301e-01,     1.00296e-01,   2.20000e+00,    2.23265e+00
1.98808e-02,    1.00331e-01,     1.00327e-01,   2.40000e+00,    2.43016e+00
4.76772e-03,    1.00338e-01,     1.00335e-01,   2.60000e+00,    2.64790e+00
-4.68677e-03,    1.00338e-01,     1.00335e-01,   2.80000e+00,    2.79416e+00
-1.01415e-02,    1.00337e-01,     1.00333e-01,   3.00000e+00,    3.09298e+00
-1.28551e-02,    1.00336e-01,     1.00332e-01,   3.20000e+00,    3.20615e+00
-1.37594e-02,    1.00335e-01,     1.00331e-01,   3.40000e+00,    3.23954e+00
